,office,1_x,1_y,1_angle,1_patient,2_x,2_y,2_angle,2_patient,3_x,3_y,3_angle,3_patient,4_x,4_y,4_angle,4_patient,5_x,5_y,5_angle,5_patient,size_x,size_y,aircon,ventilation,exhaust,countTimeMean_onlyFloating
office1_0_41_bout_C,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,1,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,41.0,b,2277.0833333333335
office1_0_41_bout_D,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,1,2.885,1.241,90.0,0,6.0,5.5,0.0,41.0,b,3970.3616666666667
office1_0_41_bout_E,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,1,6.0,5.5,0.0,41.0,b,4535.57
office1_0_82_aout_A,office1,4.76,2.18,180.0,1,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,82.0,a,3676.29
office1_0_82_aout_B,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,1,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,82.0,a,1606.355
office1_0_82_aout_C,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,1,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,82.0,a,990.0683333333334
office1_0_82_aout_D,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,1,2.885,1.241,90.0,0,6.0,5.5,0.0,82.0,a,3372.54
office1_0_82_aout_E,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,1,6.0,5.5,0.0,82.0,a,3144.7766666666666
office1_0_82_bout_A,office1,4.76,2.18,180.0,1,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,82.0,b,4699.536666666667
office1_0_82_bout_B,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,1,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,82.0,b,3302.2683333333334
office1_0_82_bout_C,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,1,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,82.0,b,1408.8533333333332
office1_0_82_bout_D,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,1,2.885,1.241,90.0,0,6.0,5.5,0.0,82.0,b,1614.4983333333332
office1_0_82_bout_E,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,1,6.0,5.5,0.0,82.0,b,5312.703333333333
office1_660_0_A,office1,4.76,2.18,180.0,1,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,0.0,off,1112.6866666666667
office1_660_0_B,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,1,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,0.0,off,269.35
office1_660_0_C,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,1,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,0.0,off,1510.5333333333333
office1_660_0_D,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,1,2.885,1.241,90.0,0,6.0,5.5,660.0,0.0,off,1897.2466666666667
office1_660_0_E,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,1,6.0,5.5,660.0,0.0,off,801.7383333333333
office1_660_123_aout_A,office1,4.76,2.18,180.0,1,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,123.0,a,2615.545
office1_660_123_aout_B,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,1,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,123.0,a,237.82333333333332
office1_660_123_aout_C,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,1,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,123.0,a,2289.2766666666666
office1_660_123_aout_D,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,1,2.885,1.241,90.0,0,6.0,5.5,660.0,123.0,a,798.785
office1_660_123_aout_E,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,1,6.0,5.5,660.0,123.0,a,1189.0616666666667
office1_660_123_bout_A,office1,4.76,2.18,180.0,1,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,123.0,b,1901.915
office1_660_123_bout_B,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,1,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,123.0,b,493.4266666666667
office1_660_123_bout_C,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,1,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,123.0,b,2019.5533333333333
office1_660_123_bout_D,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,1,2.885,1.241,90.0,0,6.0,5.5,660.0,123.0,b,1417.0983333333334
office1_660_123_bout_E,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,1,6.0,5.5,660.0,123.0,b,680.25
office1_660_164_aout_A,office1,4.76,2.18,180.0,1,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,164.0,a,1762.565
office1_660_164_aout_B,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,1,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,164.0,a,358.015
office1_660_164_aout_C,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,1,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,164.0,a,1483.8333333333333
office1_660_164_aout_D,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,1,2.885,1.241,90.0,0,6.0,5.5,660.0,164.0,a,960.5183333333333
office1_660_164_aout_E,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,1,6.0,5.5,660.0,164.0,a,730.2733333333333
office1_660_164_bout_A,office1,4.76,2.18,180.0,1,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,164.0,b,1483.8633333333332
office1_660_164_bout_B,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,1,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,164.0,b,446.68
office1_660_164_bout_C,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,1,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,164.0,b,1217.285
