,office,1_x,1_y,1_angle,2_x,2_y,2_angle,3_x,3_y,3_angle,4_x,4_y,4_angle,5_x,5_y,5_angle,size_x,size_y,aircon,ventilation,exhaust,countTimeMean_onlyFloating
office3_660_82_aout,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,660.0,82.0,a,2329.9733333333334
office3_660_82_bout,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,660.0,82.0,b,2797.654
office3_960_0,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,960.0,0.0,off,2033.397333333333
office3_960_164_aout,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,960.0,164.0,a,2674.5870000000004
office3_960_164_bout,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,960.0,164.0,b,1803.7933333333333
office3_960_246_aout,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,960.0,246.0,a,2218.621333333333
office3_960_246_bout,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,960.0,246.0,b,2191.833
office3_960_82_aout,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,960.0,82.0,a,2489.8116666666665
office3_960_82_bout,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,960.0,82.0,b,2286.3126666666662
office4_0_0,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,0.0,0.0,off,1712.4046666666668
office4_0_164_aout,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,0.0,164.0,a,1445.0393333333334
office4_0_164_bout,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,0.0,164.0,b,2139.5446666666667
office4_0_246_aout,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,0.0,246.0,a,1877.498
