A new study created in RDB with name: Poly_ElasticNet_104731
Trial 11 finished with value: 0.24518522929639927 and parameters: {'n_components': 5, 'degree': 4, 'alpha': 0.00017102003582520893, 'l1_ratio': 0.5486010032091322, 'max_iter': 45138}. Best is trial 7 with value: 0.45362337450454016.
Trial 89 finished with value: -0.1398473757840785 and parameters: {'n_components': 6, 'degree': 3, 'alpha': 1.6187013300994868, 'l1_ratio': 0.7601206056447329, 'max_iter': 3139}. Best is trial 7 with value: 0.45362337450454016.
Trial 90 finished with value: -1.0177490878684352 and parameters: {'n_components': 3, 'degree': 2, 'alpha': 0.07628156806999006, 'l1_ratio': 0.33281127369046926, 'max_iter': 81862}. Best is trial 7 with value: 0.45362337450454016.
Trial 91 finished with value: -5.837980332881303 and parameters: {'n_components': 1, 'degree': 4, 'alpha': 4.146569866127932, 'l1_ratio': 0.01764397370187576, 'max_iter': 34246}. Best is trial 7 with value: 0.45362337450454016.
Trial 92 finished with value: 0.023982130867456652 and parameters: {'n_components': 6, 'degree': 2, 'alpha': 0.17487855421433435, 'l1_ratio': 0.9734837308708502, 'max_iter': 13981}. Best is trial 7 with value: 0.45362337450454016.
Trial 93 finished with value: -1.127032008562141 and parameters: {'n_components': 10, 'degree': 1, 'alpha': 0.000309499550830375, 'l1_ratio': 0.8172309636090047, 'max_iter': 16153}. Best is trial 7 with value: 0.45362337450454016.
Trial 95 finished with value: 0.1671342690172107 and parameters: {'n_components': 9, 'degree': 2, 'alpha': 0.051700873629431654, 'l1_ratio': 0.4408736834940794, 'max_iter': 34392}. Best is trial 7 with value: 0.45362337450454016.
Trial 42 finished with value: 0.08345721081556132 and parameters: {'n_components': 3, 'degree': 5, 'alpha': 0.0011332534726011946, 'l1_ratio': 0.3704303059683769, 'max_iter': 68256}. Best is trial 7 with value: 0.45362337450454016.
Trial 34 finished with value: 0.20512442082913698 and parameters: {'n_components': 5, 'degree': 4, 'alpha': 0.0041715469591188945, 'l1_ratio': 0.2615958208898014, 'max_iter': 37374}. Best is trial 7 with value: 0.45362337450454016.
Trial 98 finished with value: -1.8435619045301335 and parameters: {'n_components': 5, 'degree': 1, 'alpha': 0.02589198032155464, 'l1_ratio': 0.9301300769659153, 'max_iter': 99091}. Best is trial 7 with value: 0.45362337450454016.
Trial 99 finished with value: -0.2225586276244173 and parameters: {'n_components': 6, 'degree': 3, 'alpha': 2.2093281450996796, 'l1_ratio': 0.25946269096035834, 'max_iter': 48037}. Best is trial 7 with value: 0.45362337450454016.
Trial 100 finished with value: -0.7549332916966909 and parameters: {'n_components': 2, 'degree': 4, 'alpha': 0.00018926715649338787, 'l1_ratio': 0.7516093912733663, 'max_iter': 41014}. Best is trial 7 with value: 0.45362337450454016.
Trial 101 finished with value: -0.7417847955573091 and parameters: {'n_components': 3, 'degree': 3, 'alpha': 1.5170797390083879, 'l1_ratio': 0.700451685709769, 'max_iter': 24346}. Best is trial 7 with value: 0.45362337450454016.
Trial 102 finished with value: -5.077894163909874 and parameters: {'n_components': 2, 'degree': 1, 'alpha': 0.022725913069442612, 'l1_ratio': 0.1456926416761336, 'max_iter': 12447}. Best is trial 7 with value: 0.45362337450454016.
Trial 96 finished with value: 0.4513333141718789 and parameters: {'n_components': 10, 'degree': 3, 'alpha': 0.00015557464749168837, 'l1_ratio': 0.9352991872436793, 'max_iter': 4785}. Best is trial 7 with value: 0.45362337450454016.
Trial 104 finished with value: 0.07243320984489815 and parameters: {'n_components': 5, 'degree': 3, 'alpha': 0.035443330264823936, 'l1_ratio': 0.40122695738875425, 'max_iter': 42124}. Best is trial 7 with value: 0.45362337450454016.
Trial 103 finished with value: -0.018606629273373455 and parameters: {'n_components': 3, 'degree': 3, 'alpha': 0.00015772005375422622, 'l1_ratio': 0.947839326136584, 'max_iter': 48033}. Best is trial 7 with value: 0.45362337450454016.
Trial 106 finished with value: -4.852227521811574 and parameters: {'n_components': 1, 'degree': 4, 'alpha': 0.06739947256234079, 'l1_ratio': 0.7608923886900295, 'max_iter': 73256}. Best is trial 7 with value: 0.45362337450454016.
Trial 77 finished with value: 0.06477545849935054 and parameters: {'n_components': 3, 'degree': 5, 'alpha': 0.009493722045433514, 'l1_ratio': 0.3924120103945752, 'max_iter': 61041}. Best is trial 7 with value: 0.45362337450454016.
Trial 108 finished with value: -0.08526809845651852 and parameters: {'n_components': 4, 'degree': 2, 'alpha': 0.0015798395515663629, 'l1_ratio': 0.17593869435928966, 'max_iter': 3148}. Best is trial 7 with value: 0.45362337450454016.
Trial 109 finished with value: -1.1270013218969577 and parameters: {'n_components': 10, 'degree': 1, 'alpha': 0.002694467512171238, 'l1_ratio': 0.6755891927540132, 'max_iter': 83166}. Best is trial 7 with value: 0.45362337450454016.
Trial 110 finished with value: -0.9860042066565462 and parameters: {'n_components': 3, 'degree': 2, 'alpha': 0.07656043387527267, 'l1_ratio': 0.9535106753248181, 'max_iter': 71744}. Best is trial 7 with value: 0.45362337450454016.
Trial 94 finished with value: 0.09819342751549791 and parameters: {'n_components': 5, 'degree': 4, 'alpha': 0.2845200233511569, 'l1_ratio': 0.7430398443852905, 'max_iter': 58686}. Best is trial 7 with value: 0.45362337450454016.
Trial 112 finished with value: 0.006832922732287483 and parameters: {'n_components': 7, 'degree': 2, 'alpha': 0.08703604529351155, 'l1_ratio': 0.0545175946597285, 'max_iter': 32662}. Best is trial 7 with value: 0.45362337450454016.
Trial 113 finished with value: 0.002108014988349627 and parameters: {'n_components': 3, 'degree': 4, 'alpha': 0.04693196628816113, 'l1_ratio': 0.7499589846165826, 'max_iter': 17894}. Best is trial 7 with value: 0.45362337450454016.
Trial 114 finished with value: -5.116562853004821 and parameters: {'n_components': 1, 'degree': 1, 'alpha': 0.0004957567488571654, 'l1_ratio': 0.6729441556214564, 'max_iter': 97958}. Best is trial 7 with value: 0.45362337450454016.
Trial 85 finished with value: 0.11722918728829658 and parameters: {'n_components': 5, 'degree': 3, 'alpha': 0.00042389218139233473, 'l1_ratio': 0.9750372097352706, 'max_iter': 73909}. Best is trial 7 with value: 0.45362337450454016.
Trial 88 finished with value: 0.14284967941273014 and parameters: {'n_components': 8, 'degree': 2, 'alpha': 0.0002689106361776396, 'l1_ratio': 0.24432864722073222, 'max_iter': 65088}. Best is trial 7 with value: 0.45362337450454016.
Trial 117 finished with value: -1.3686562251822239 and parameters: {'n_components': 5, 'degree': 2, 'alpha': 7.869666337056736, 'l1_ratio': 0.1523704911741155, 'max_iter': 63800}. Best is trial 7 with value: 0.45362337450454016.
Trial 118 finished with value: 0.36227403319424906 and parameters: {'n_components': 8, 'degree': 3, 'alpha': 0.21864750767187774, 'l1_ratio': 0.34833236162609793, 'max_iter': 10640}. Best is trial 7 with value: 0.45362337450454016.
Trial 119 finished with value: -0.0922260448987943 and parameters: {'n_components': 5, 'degree': 3, 'alpha': 0.8093578725943174, 'l1_ratio': 0.5271538034908392, 'max_iter': 45201}. Best is trial 7 with value: 0.45362337450454016.
Trial 97 finished with value: 0.4995922049215561 and parameters: {'n_components': 9, 'degree': 4, 'alpha': 0.2788967507978717, 'l1_ratio': 0.48365623391143564, 'max_iter': 21543}. Best is trial 97 with value: 0.4995922049215561.
Trial 121 finished with value: -1.725776501429546 and parameters: {'n_components': 8, 'degree': 1, 'alpha': 0.0020455628094615827, 'l1_ratio': 0.2778961079649893, 'max_iter': 24691}. Best is trial 97 with value: 0.4995922049215561.
Trial 122 finished with value: -3.568105907644487 and parameters: {'n_components': 2, 'degree': 5, 'alpha': 1.6667773204967093, 'l1_ratio': 0.19009884584255798, 'max_iter': 59194}. Best is trial 97 with value: 0.4995922049215561.
Trial 57 finished with value: 0.19167221223270972 and parameters: {'n_components': 4, 'degree': 4, 'alpha': 0.0001778916577119878, 'l1_ratio': 0.8516170603526284, 'max_iter': 97269}. Best is trial 97 with value: 0.4995922049215561.
Trial 111 finished with value: 0.21768255377926832 and parameters: {'n_components': 7, 'degree': 5, 'alpha': 1.0332748580907998, 'l1_ratio': 0.27393345768163246, 'max_iter': 13586}. Best is trial 97 with value: 0.4995922049215561.
Trial 41 finished with value: 0.44411939377416254 and parameters: {'n_components': 11, 'degree': 3, 'alpha': 0.011437346706426448, 'l1_ratio': 0.4779332671921708, 'max_iter': 62800}. Best is trial 97 with value: 0.4995922049215561.
Trial 124 finished with value: 0.3562046649712982 and parameters: {'n_components': 8, 'degree': 3, 'alpha': 0.25054922832339116, 'l1_ratio': 0.4543207550716567, 'max_iter': 66975}. Best is trial 97 with value: 0.4995922049215561.
Trial 107 finished with value: 0.28631955707848705 and parameters: {'n_components': 6, 'degree': 5, 'alpha': 0.04277294531671888, 'l1_ratio': 0.20384323058182774, 'max_iter': 27811}. Best is trial 97 with value: 0.4995922049215561.
Trial 127 finished with value: 0.4359094323834773 and parameters: {'n_components': 11, 'degree': 3, 'alpha': 0.042037682379296615, 'l1_ratio': 0.9549599499831206, 'max_iter': 21652}. Best is trial 97 with value: 0.4995922049215561.
Trial 37 finished with value: 0.2189346317075589 and parameters: {'n_components': 7, 'degree': 4, 'alpha': 0.08710260996918913, 'l1_ratio': 0.538696182858965, 'max_iter': 67512}. Best is trial 97 with value: 0.4995922049215561.
Trial 130 finished with value: -1.7938662119373605 and parameters: {'n_components': 9, 'degree': 1, 'alpha': 3.580535473766745, 'l1_ratio': 0.7651884197548188, 'max_iter': 7037}. Best is trial 97 with value: 0.4995922049215561.
