A new study created in RDB with name: SVR_172814
Trial 82 finished with value: -0.41398276896312014 and parameters: {'kernel': 'poly', 'epsilon': 0.6698756008164023, 'degree': 4, 'C': 8.3374866181089}. Best is trial 39 with value: -0.018597391464526103.
Trial 74 finished with value: -5.426422575805698 and parameters: {'kernel': 'poly', 'epsilon': 0.6973321218701026, 'degree': 6, 'C': 0.00011763177794508926}. Best is trial 39 with value: -0.018597391464526103.
Trial 73 finished with value: -2.1234184622770855 and parameters: {'kernel': 'poly', 'epsilon': 0.05729899672454164, 'degree': 5, 'C': 1.0497217067979565}. Best is trial 39 with value: -0.018597391464526103.
Trial 87 finished with value: -5.283100883454885 and parameters: {'kernel': 'poly', 'epsilon': 0.2272515798520991, 'degree': 4, 'C': 0.0088265534658499}. Best is trial 39 with value: -0.018597391464526103.
Trial 84 finished with value: -5.41370222174743 and parameters: {'kernel': 'poly', 'epsilon': 0.565928905271537, 'degree': 6, 'C': 0.00011710426016839132}. Best is trial 39 with value: -0.018597391464526103.
Trial 89 finished with value: -5.386383070723495 and parameters: {'kernel': 'rbf', 'epsilon': 0.9416661487561186, 'degree': 3, 'C': 0.004872364816471325}. Best is trial 39 with value: -0.018597391464526103.
Trial 81 finished with value: -5.281977413169945 and parameters: {'kernel': 'poly', 'epsilon': 0.7779483783973132, 'degree': 3, 'C': 0.015502226302386499}. Best is trial 39 with value: -0.018597391464526103.
Trial 85 finished with value: -0.658297938636838 and parameters: {'kernel': 'poly', 'epsilon': 0.8820789790922743, 'degree': 3, 'C': 3.4228107200525395}. Best is trial 39 with value: -0.018597391464526103.
Trial 83 finished with value: -5.2130985132678545 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.5162791390028859, 'degree': 5, 'C': 0.02478798540625558}. Best is trial 39 with value: -0.018597391464526103.
Trial 88 finished with value: -5.363412293262202 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.20419450371144843, 'degree': 4, 'C': 0.00020518259405392475}. Best is trial 39 with value: -0.018597391464526103.
Trial 86 finished with value: -5.346457304396353 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.08269785485829917, 'degree': 6, 'C': 0.00022514049210231547}. Best is trial 39 with value: -0.018597391464526103.
Trial 78 finished with value: -1.236861304601878 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.04598529303797183, 'degree': 5, 'C': 1.4795883624095805}. Best is trial 39 with value: -0.018597391464526103.
