casename,num_floating,volume[ml]
office4_360_82_aout_E,7870,0.000101096477
office4_360_82_bout_A,5415,3.46147899e-05
office4_360_82_bout_B,6852,5.23373419e-05
office4_360_82_bout_C,5920,5.97649014e-05
office4_360_82_bout_D,6878,7.23176272e-05
office4_360_82_bout_E,7179,9.41692197e-05
office4_660_0_A,5471,3.35874356e-05
office4_660_0_B,5949,7.03783517e-05
office4_660_0_C,6066,4.32697561e-05
office4_660_0_D,6551,5.53381469e-05
office4_660_0_E,7473,5.66163326e-05
office4_660_164_aout_A,7136,4.98152222e-05
office4_660_164_aout_B,1002,2.90649441e-05
office4_660_164_aout_C,6413,3.05654867e-05
office4_660_164_aout_D,6728,4.57610186e-05
office4_660_164_aout_E,6744,5.60285844e-05
office4_660_164_bout_A,4984,5.97648723e-05
office4_660_164_bout_B,4692,6.08775772e-05
office4_660_164_bout_C,7072,3.84508567e-05
office4_660_164_bout_D,6948,2.42856349e-05
office4_660_164_bout_E,6906,6.32223018e-05
office4_660_246_aout_A,5990,3.65776359e-05
office4_660_246_aout_B,1086,7.2842513e-06
office4_660_246_aout_C,6170,3.59690639e-05
office4_660_246_aout_D,5010,3.46019442e-05
office4_660_246_aout_E,7048,7.74930522e-05
office4_660_246_bout_A,4715,3.62108512e-05
office4_660_246_bout_B,5015,8.30528879e-05
office4_660_246_bout_C,6650,5.21684378e-05
office4_660_246_bout_D,6275,5.95754682e-05
office4_660_246_bout_E,7745,0.000102227554
office4_660_82_aout_A,4681,6.39703285e-05
office4_660_82_aout_B,2218,4.83746699e-05
office4_660_82_aout_C,6676,2.99709482e-05
office4_660_82_aout_D,6435,3.56825731e-05
office4_660_82_aout_E,6835,8.04841402e-05
office4_660_82_bout_A,6260,2.9176641e-05
office4_660_82_bout_B,6670,9.96443705e-05
office4_660_82_bout_C,4128,3.92319125e-05
office4_660_82_bout_D,5493,3.74675001e-05
office4_660_82_bout_E,7181,4.33788082e-05
office4_960_0_A,5741,3.55823395e-05
office4_960_0_B,4357,5.5867753e-05
office4_960_0_C,6460,4.9159913e-05
office4_960_0_D,6424,3.63387844e-05
office4_960_0_E,6903,5.20997128e-05
office4_960_164_aout_A,5918,1.97728405e-05
office4_960_164_aout_B,1846,5.9348502e-05
office4_960_164_aout_C,4988,4.24669815e-05
office4_960_164_aout_D,6227,6.06913527e-05
office4_960_164_aout_E,5978,6.910909e-05
office4_960_164_bout_A,6499,2.46483251e-05
office4_960_164_bout_B,3861,4.90452985e-05
office4_960_164_bout_C,5744,1.75385248e-05
office4_960_164_bout_D,5080,5.03477786e-05
office4_960_164_bout_E,7318,5.77133032e-05
office4_960_246_aout_A,5340,3.25751862e-05
office4_960_246_aout_B,1967,3.14414356e-05
office4_960_246_aout_C,5261,5.7362693e-05
office4_960_246_aout_D,5490,4.81310344e-05
office4_960_246_aout_E,6126,3.87452747e-05
office4_960_246_bout_A,5427,6.03919761e-05
office4_960_246_bout_B,3922,5.93880904e-05
office4_960_246_bout_C,6498,4.64997065e-05
office4_960_246_bout_D,4874,5.24577335e-05
office4_960_246_bout_E,6472,5.61091874e-05
office4_960_82_aout_A,5835,1.47576156e-05
office4_960_82_aout_B,5136,9.75243674e-05
office4_960_82_aout_C,6832,3.45160588e-05
office4_960_82_aout_D,4621,2.68784879e-05
office4_960_82_aout_E,6937,6.83852195e-05
office4_960_82_bout_A,6256,5.42019188e-05
office4_960_82_bout_B,5281,6.88117725e-05
office4_960_82_bout_C,5263,2.56151943e-05
office4_960_82_bout_D,6381,5.04717318e-05
office4_960_82_bout_E,7595,6.07040784e-05
office15_0_0_A,8609,9.21961473e-05
office15_0_0_B,8571,7.9217265e-05
office15_0_0_C,8271,0.00011486352
office15_0_0_D,8518,0.000114231108
office15_0_0_E,7785,8.9299494e-05
office15_0_164_aout_A,8594,9.76651863e-05
office15_0_164_aout_B,8373,7.7886245e-05
office15_0_164_aout_C,8506,9.65041836e-05
office15_0_164_aout_D,8586,0.000110100897
office15_0_164_aout_E,7128,8.52569356e-05
office15_0_164_bout_A,8174,8.9022622e-05
office15_0_164_bout_B,8578,7.80107293e-05
office15_0_164_bout_C,8348,0.000128207364
office15_0_164_bout_D,6717,8.94672339e-05
office15_0_164_bout_E,7605,7.851384e-05
office15_0_246_aout_A,8410,0.00010796963
office15_0_246_aout_B,8339,7.50250692e-05
office15_0_246_aout_C,8678,0.000121351222
office15_0_246_aout_D,8457,0.000103497761
office15_0_246_aout_E,7200,8.48633499e-05
office15_0_246_bout_A,8669,0.000116515512
office15_0_246_bout_B,8525,7.73824941e-05
office15_0_246_bout_C,8445,0.000139175812
office15_0_246_bout_D,6116,4.81013558e-05
office15_0_246_bout_E,8408,0.000114260583
office15_0_82_aout_A,8699,0.000120645142
office15_0_82_aout_B,8575,8.30313584e-05
office15_0_82_aout_C,8400,0.000112831032
office15_0_82_aout_D,8552,7.86607197e-05
office15_0_82_aout_E,7544,9.08812362e-05
office15_0_82_bout_A,8578,0.000105605272
office15_0_82_bout_B,8589,8.04360243e-05
office15_0_82_bout_C,8259,0.00010783691
office15_0_82_bout_D,6702,7.27468432e-05
office15_0_82_bout_E,8587,0.000103943261
office15_360_0_A,7021,7.47148661e-05
office15_360_0_B,7339,5.08590783e-05
office15_360_0_C,8474,9.15114433e-05
office15_360_0_D,6175,4.6166977e-05
office15_360_0_E,6094,8.78959327e-05
office15_360_164_aout_A,7772,8.34085513e-05
office15_360_164_aout_B,5985,5.1001156e-05
office15_360_164_aout_C,8553,0.000116546456
office15_360_164_aout_D,7145,7.11737521e-05
office15_360_164_aout_E,3337,4.12464942e-05
office15_360_164_bout_A,7750,9.41667604e-05
office15_360_164_bout_B,7649,6.71714588e-05
office15_360_164_bout_C,6746,7.97111716e-05
office15_360_164_bout_D,7389,8.93499819e-05
office15_360_164_bout_E,5673,0.000119544311
office15_360_246_aout_A,8466,0.000107362124
office15_360_246_aout_B,6869,4.68956641e-05
office15_360_246_aout_C,6983,6.0587412e-05
office15_360_246_aout_D,7706,6.2884712e-05
office15_360_246_aout_E,5178,6.18659978e-05
office15_360_246_bout_A,8033,0.00010962136
office15_360_246_bout_B,7439,5.96593636e-05
office15_360_246_bout_C,8105,9.52932241e-05
office15_360_246_bout_D,6782,0.000123779915
office15_360_246_bout_E,5839,0.000141008699
office15_360_82_aout_A,8049,7.81077251e-05
office15_360_82_aout_B,7243,6.14912424e-05
office15_360_82_aout_C,7895,9.09440569e-05
office15_360_82_aout_D,6512,7.97231914e-05
office15_360_82_aout_E,4697,7.29276217e-05
office15_360_82_bout_A,6704,9.48527013e-05
office15_360_82_bout_B,6175,7.30298707e-05
office15_360_82_bout_C,8134,7.77118985e-05
office15_360_82_bout_D,7239,8.07315228e-05
office15_360_82_bout_E,5069,5.35539657e-05
office15_660_0_A,7962,0.000133067471
office15_660_0_B,5026,3.5625937e-05
office15_660_0_C,6659,9.9183133e-05
office15_660_0_D,6457,6.10953284e-05
office15_660_0_E,7073,6.69726287e-05
office15_660_164_aout_A,7267,9.72399866e-05
office15_660_164_aout_B,5423,3.71462811e-05
office15_660_164_aout_C,7621,7.70315746e-05
office15_660_164_aout_D,6842,8.48341515e-05
office15_660_164_aout_E,5682,7.80530172e-05
office15_660_164_bout_A,7913,8.39253335e-05
office15_660_164_bout_B,5244,3.97411386e-05
office15_660_164_bout_C,6638,8.01718561e-05
office15_660_164_bout_D,6024,6.55853728e-05
office15_660_164_bout_E,6597,7.13067202e-05
office15_660_246_aout_A,7451,6.29886854e-05
office15_660_246_aout_B,6112,5.74040023e-05
office15_660_246_aout_C,7124,9.3216644e-05
office15_660_246_aout_D,5936,5.24156094e-05
office15_660_246_aout_E,5610,9.31415416e-05
office15_660_246_bout_A,7978,6.25616303e-05
office15_660_246_bout_B,6916,5.98967563e-05
office15_660_246_bout_C,7178,8.41470828e-05
office15_660_246_bout_D,5661,7.36271613e-05
office15_660_246_bout_E,5267,0.000107931563
office15_660_82_aout_A,8048,7.04258491e-05
office15_660_82_aout_B,7531,6.47075576e-05
office15_660_82_aout_C,5806,6.04832931e-05
office15_660_82_aout_D,5282,7.11128669e-05
office15_660_82_aout_E,5896,5.89351948e-05
office15_660_82_bout_A,7190,7.29085732e-05
office15_660_82_bout_B,5601,3.74664887e-05
office15_660_82_bout_C,6146,5.36449843e-05
office15_660_82_bout_D,7546,9.62624181e-05
office15_660_82_bout_E,7342,9.79203396e-05
office15_960_0_A,8028,7.35731956e-05
office15_960_0_B,4069,3.42506828e-05
office15_960_0_C,5251,7.33079141e-05
office15_960_0_D,6422,9.74646027e-05
office15_960_0_E,5643,8.07076285e-05
office15_960_164_aout_A,4656,2.01856255e-05
office15_960_164_aout_B,6008,5.82514258e-05
office15_960_164_aout_C,5869,8.78334686e-05
office15_960_164_aout_D,6172,6.287219e-05
office15_960_164_aout_E,5077,0.000107275817
office15_960_164_bout_A,8009,5.0367802e-05
office15_960_164_bout_B,4152,4.905893e-05
office15_960_164_bout_C,3917,5.85333073e-05
office15_960_164_bout_D,6623,8.8707704e-05
office15_960_164_bout_E,5216,0.000129762091
office15_960_246_aout_A,6746,7.84403528e-05
office15_960_246_aout_B,5616,5.19745845e-05
office15_960_246_aout_C,5910,8.24149247e-05
