A new study created in RDB with name: Poly_ElasticNet_93751
Trial 88 finished with value: 0.35418110795138025 and parameters: {'n_components': 6, 'degree': 1, 'alpha': 0.016876585376156022, 'l1_ratio': 0.018682538228165457, 'max_iter': 53867}. Best is trial 1 with value: 0.7997489209884635.
Trial 89 finished with value: 0.7251875242129137 and parameters: {'n_components': 6, 'degree': 2, 'alpha': 0.015065216133648765, 'l1_ratio': 0.8268637486097068, 'max_iter': 11547}. Best is trial 1 with value: 0.7997489209884635.
Trial 20 finished with value: 0.704899448658221 and parameters: {'n_components': 6, 'degree': 5, 'alpha': 2.6980940141177334, 'l1_ratio': 0.4876932350034483, 'max_iter': 62495}. Best is trial 1 with value: 0.7997489209884635.
Trial 91 finished with value: 0.37044246032387657 and parameters: {'n_components': 4, 'degree': 1, 'alpha': 0.004604084211553267, 'l1_ratio': 0.24586219905874485, 'max_iter': 89058}. Best is trial 1 with value: 0.7997489209884635.
Trial 92 finished with value: 0.2674454049543785 and parameters: {'n_components': 1, 'degree': 5, 'alpha': 2.3049964298278223, 'l1_ratio': 0.959242760794803, 'max_iter': 59725}. Best is trial 1 with value: 0.7997489209884635.
Trial 60 finished with value: 0.7104087786009454 and parameters: {'n_components': 6, 'degree': 5, 'alpha': 1.569026638866686, 'l1_ratio': 0.1979615346151007, 'max_iter': 45882}. Best is trial 1 with value: 0.7997489209884635.
Trial 54 finished with value: 0.7889881663535545 and parameters: {'n_components': 10, 'degree': 3, 'alpha': 0.00669969134394991, 'l1_ratio': 0.3218590911322915, 'max_iter': 65175}. Best is trial 1 with value: 0.7997489209884635.
Trial 95 finished with value: 0.36123560179514735 and parameters: {'n_components': 5, 'degree': 1, 'alpha': 0.19152055898049886, 'l1_ratio': 0.30969049835121365, 'max_iter': 54997}. Best is trial 1 with value: 0.7997489209884635.
Trial 81 finished with value: 0.7189920523445805 and parameters: {'n_components': 5, 'degree': 5, 'alpha': 0.9783041074043327, 'l1_ratio': 0.8296587009955705, 'max_iter': 36079}. Best is trial 1 with value: 0.7997489209884635.
Trial 72 finished with value: 0.7531108216255454 and parameters: {'n_components': 9, 'degree': 5, 'alpha': 2.00267754414047, 'l1_ratio': 0.37814493519825343, 'max_iter': 10769}. Best is trial 1 with value: 0.7997489209884635.
Trial 93 finished with value: 0.7438971366465253 and parameters: {'n_components': 4, 'degree': 4, 'alpha': 0.0062846967962938306, 'l1_ratio': 0.5318528518625896, 'max_iter': 53001}. Best is trial 1 with value: 0.7997489209884635.
Trial 99 finished with value: 0.4422313492450861 and parameters: {'n_components': 10, 'degree': 1, 'alpha': 0.07063193454283458, 'l1_ratio': 0.18651182405400724, 'max_iter': 39671}. Best is trial 1 with value: 0.7997489209884635.
Trial 19 finished with value: 0.7656696599032475 and parameters: {'n_components': 11, 'degree': 3, 'alpha': 0.0002795355038424673, 'l1_ratio': 0.5568481013532117, 'max_iter': 84316}. Best is trial 1 with value: 0.7997489209884635.
Trial 101 finished with value: 0.4891543151476748 and parameters: {'n_components': 2, 'degree': 4, 'alpha': 0.7971598242681133, 'l1_ratio': 0.8546686402995068, 'max_iter': 57004}. Best is trial 1 with value: 0.7997489209884635.
Trial 102 finished with value: 0.6943455495607036 and parameters: {'n_components': 11, 'degree': 1, 'alpha': 0.16933742137868385, 'l1_ratio': 0.9880234592796957, 'max_iter': 67237}. Best is trial 1 with value: 0.7997489209884635.
Trial 103 finished with value: 0.6573296044894279 and parameters: {'n_components': 11, 'degree': 2, 'alpha': 3.9653358962355814, 'l1_ratio': 0.5373041243650768, 'max_iter': 31632}. Best is trial 1 with value: 0.7997489209884635.
Trial 104 finished with value: 0.34677274610726144 and parameters: {'n_components': 7, 'degree': 1, 'alpha': 0.009412988547705484, 'l1_ratio': 0.6287590623697326, 'max_iter': 42969}. Best is trial 1 with value: 0.7997489209884635.
Trial 105 finished with value: 0.10576864087388929 and parameters: {'n_components': 1, 'degree': 2, 'alpha': 0.037937604922508264, 'l1_ratio': 0.09529455331747005, 'max_iter': 44371}. Best is trial 1 with value: 0.7997489209884635.
Trial 106 finished with value: 0.36756050543664676 and parameters: {'n_components': 4, 'degree': 1, 'alpha': 0.634154739423653, 'l1_ratio': 0.782937916823419, 'max_iter': 52258}. Best is trial 1 with value: 0.7997489209884635.
Trial 27 finished with value: 0.6473844907738366 and parameters: {'n_components': 8, 'degree': 4, 'alpha': 0.0011980032444780253, 'l1_ratio': 0.6314484925238294, 'max_iter': 65219}. Best is trial 1 with value: 0.7997489209884635.
Trial 108 finished with value: 0.43155370400464665 and parameters: {'n_components': 9, 'degree': 1, 'alpha': 0.561054255304517, 'l1_ratio': 0.4045328745201665, 'max_iter': 59318}. Best is trial 1 with value: 0.7997489209884635.
Trial 75 finished with value: 0.7297237528603338 and parameters: {'n_components': 5, 'degree': 5, 'alpha': 0.13798127260965026, 'l1_ratio': 0.7434257500420677, 'max_iter': 65165}. Best is trial 1 with value: 0.7997489209884635.
Trial 109 finished with value: 0.7516301622767771 and parameters: {'n_components': 11, 'degree': 2, 'alpha': 0.0342570826684205, 'l1_ratio': 0.03543822006890973, 'max_iter': 74283}. Best is trial 1 with value: 0.7997489209884635.
Trial 111 finished with value: 0.5050836365074527 and parameters: {'n_components': 2, 'degree': 5, 'alpha': 0.2028432098128697, 'l1_ratio': 0.34413560906377405, 'max_iter': 72490}. Best is trial 1 with value: 0.7997489209884635.
Trial 112 finished with value: 0.4375492135661597 and parameters: {'n_components': 2, 'degree': 3, 'alpha': 2.683411234302283, 'l1_ratio': 0.6635592501369459, 'max_iter': 67978}. Best is trial 1 with value: 0.7997489209884635.
