0_0,0_123_aout,0_123_bout,0_164_aout,0_164_bout,0_205_aout,0_205_bout,0_246_aout,0_246_bout,0_41_aout,0_41_bout,0_82_aout,0_82_bout,660_0,660_123_aout,660_123_bout,660_164_aout,660_164_bout,660_205_aout,660_205_bout,660_246_aout,660_246_bout,660_41_aout,660_41_bout,660_82_aout,660_82_bout,960_0,960_123_aout,960_123_bout,960_164_aout,960_164_bout,960_205_aout,960_205_bout,960_246_aout,960_246_bout,960_41_aout,960_41_bout,960_82_aout,960_82_bout
6043.0,4386.8,5319.6,5289.0,4638.4,5376.2,4555.2,5766.4,4348.2,5012.6,5373.6,5171.0,5570.2,3779.8,2471.8,3272.8,2446.6,3037.4,4053.2,2739.6,3539.2,3399.0,3224.2,2907.0,1554.8,3741.6,1718.4,2740.2,3617.2,1475.0,1207.4,1862.2,2186.2,1995.2,2755.0,1444.4,4239.2,2450.2,3025.0
6054.2,4321.8,5335.6,5179.6,4634.8,5186.6,4540.0,5708.0,4302.8,4975.6,5336.2,5165.6,5560.2,3776.2,2465.2,3173.0,2415.0,3076.6,4008.8,2723.2,3535.4,3335.6,3181.0,2950.0,1510.4,3698.6,1742.0,2749.4,3675.2,1474.2,1253.4,1706.6,2161.2,2003.8,2777.6,1446.6,4298.8,2458.6,3005.6
5854.8,4271.8,5276.8,5002.2,4610.8,5073.4,4509.2,5674.8,4256.6,4934.0,5306.6,5167.2,5589.0,3780.2,2301.6,3172.0,2411.0,3125.2,3969.6,2706.2,3558.0,3326.4,3189.4,2952.8,1458.4,3678.8,1717.2,2751.6,3660.8,1493.0,1321.6,1602.0,2132.0,2014.6,2700.0,1450.0,4320.6,2477.4,3002.0
5782.0,4254.4,5269.8,4843.8,4605.0,4957.0,4445.0,5647.0,4222.2,4880.6,5269.6,5168.2,5549.2,3763.2,2190.4,3176.0,2408.8,3124.0,3924.2,2700.8,3563.2,3304.6,3173.6,2888.2,1453.6,3671.4,1739.2,2763.2,3680.8,1525.2,1365.6,1669.2,2124.6,2084.4,2683.2,1438.4,4330.6,2451.4,2994.2
5732.8,4234.6,5263.0,4774.8,4606.4,4831.6,4320.2,5634.6,4212.6,4843.2,5157.4,5172.8,5502.2,3756.6,2167.4,3189.2,2410.8,3167.6,3836.2,2708.4,3543.4,3300.4,3178.6,2883.4,1450.6,3720.4,1723.0,2795.4,3639.8,1486.2,1403.0,1689.4,2127.6,2126.6,2665.2,1453.0,4335.6,2439.6,2989.6
5705.0,4077.2,5206.6,4712.8,4602.8,4774.0,4236.4,5618.0,4210.0,4804.0,5063.0,5170.2,5483.0,3744.6,2181.8,3192.2,2407.0,3148.0,3819.6,2710.0,3531.6,3298.8,3183.4,2886.4,1458.4,3738.2,1725.4,2782.6,3649.6,1459.2,1448.4,1713.2,2117.0,2171.4,2626.8,1469.2,4343.4,2409.0,2997.2
5631.0,4034.2,5138.8,4676.4,4602.4,4737.2,4182.0,5599.8,4135.2,4769.4,4993.2,5171.0,5472.2,3734.6,2239.0,3216.0,2397.0,3111.8,3716.0,2722.6,3440.0,3296.4,3199.0,2884.6,1477.6,3742.0,1681.8,2758.6,3656.0,1450.6,1581.0,1728.8,2086.6,2223.8,2619.8,1490.6,4371.2,2356.0,2961.8
5459.0,4028.6,5099.8,4630.6,4597.8,4695.4,4161.8,5569.8,4095.0,4719.4,4992.8,5187.4,5458.8,3727.2,2302.4,3247.6,2386.8,3078.6,3649.2,2727.0,3422.2,3294.6,3183.8,2881.4,1455.8,3750.2,1647.6,2752.6,3637.4,1442.0,1613.8,1734.4,2055.0,2173.6,2612.2,1501.6,4346.0,2340.4,2941.4
5432.8,4044.6,5050.4,4568.0,4654.8,4669.2,4155.8,5552.2,4068.6,4716.0,5048.2,5188.4,5437.8,3707.2,2320.0,3248.8,2380.8,3047.0,3522.6,2731.8,3410.8,3296.4,3201.4,2882.8,1372.4,3744.8,1648.2,2771.0,3625.0,1470.6,1537.8,1608.0,2047.0,1973.6,2621.6,1479.8,4284.6,2328.2,2938.8
5446.6,4019.2,5001.2,4562.2,4664.4,4654.4,4169.6,5549.4,4024.4,4695.0,5053.8,5182.2,5384.2,3687.8,2329.0,3240.6,2381.4,3041.8,3500.2,2744.8,3402.6,3301.4,3199.6,2868.2,1301.0,3735.2,1658.6,2771.6,3608.0,1528.2,1542.4,1586.2,2057.2,1552.0,2625.2,1434.4,4171.0,2374.0,2931.0
5435.0,4023.4,4922.4,4573.8,4672.0,4653.6,4189.2,5541.4,4009.8,4650.8,5079.8,5163.2,5384.2,3677.0,2338.4,3202.8,2383.4,3018.2,3472.2,2777.0,3408.6,3297.6,3194.4,2738.4,1271.0,3736.0,1684.0,2752.0,3608.2,1534.8,1569.0,1608.4,1764.6,1405.4,2629.0,1389.4,4239.4,2378.8,2929.0
5433.4,4023.4,4903.0,4525.6,4664.4,4654.4,4145.4,5525.4,4076.4,4572.2,5127.2,5163.8,5386.6,3669.8,2348.0,3175.4,2386.8,2952.2,3446.2,2819.2,3393.2,3292.6,3192.6,2493.2,1244.2,3740.4,1707.4,2722.0,3606.0,1531.4,1606.2,1617.2,1546.2,1399.0,2632.6,858.0,4186.6,2379.6,2928.0
5429.4,4006.2,4877.4,4492.6,4677.0,4650.8,4134.2,5497.6,4068.2,4522.4,5149.0,5153.6,5386.2,3649.0,2343.2,3156.4,2385.8,2844.8,3425.0,2812.8,3288.6,3288.2,3188.6,2246.2,1220.0,3618.8,1799.8,2724.6,3548.0,1537.2,1612.8,1622.4,1519.8,1426.4,2631.4,827.6,4168.8,2268.4,2939.4
5432.4,3983.8,4819.8,4427.0,4654.6,4633.8,4113.8,5457.0,4058.4,4484.4,5160.4,5158.2,5379.0,3548.0,2332.6,3147.6,2384.0,2834.8,3372.0,2827.2,3242.4,3267.6,3183.4,1703.2,1207.8,3456.8,1883.4,2595.0,3493.6,1558.0,1616.0,1639.0,1503.2,1528.2,2636.2,762.8,4156.4,2225.0,2949.6
5429.2,3956.6,4807.4,4378.4,4553.6,4630.2,4092.4,5356.8,4059.8,4459.8,5211.2,5170.8,5373.4,3507.4,2325.8,3142.0,2386.4,2841.2,3291.4,2838.2,3168.6,3263.4,3183.0,1563.8,1196.2,3285.4,1917.2,2881.2,3424.6,1544.0,1606.0,1651.0,1437.6,1633.8,2649.8,759.8,4102.6,2101.4,2931.2
5447.0,3930.2,4742.8,4205.2,4577.4,4612.6,4076.8,5237.6,4052.2,4413.4,5226.2,5169.6,5366.2,3457.0,2349.0,3112.6,2389.4,2837.6,3227.4,2858.0,3177.6,3257.8,3171.0,1500.0,1173.6,3276.8,1954.6,3222.4,3374.2,1548.0,1593.4,1691.8,1434.6,1706.2,2660.2,759.8,4018.8,1634.4,2895.6
5451.2,3810.2,4689.4,4407.8,4546.4,4615.6,4036.6,5165.2,4038.4,4346.0,5190.2,5174.6,5332.0,3400.6,2347.4,3097.2,2408.6,2833.6,3194.6,2824.2,3316.2,3243.4,3106.8,1491.4,1186.2,3268.2,2068.6,3155.8,3343.0,1567.8,1635.4,1723.8,1419.0,1834.6,2678.8,767.4,3973.8,1512.4,2878.0
5449.6,3776.0,4543.0,4257.0,4546.4,4606.6,4014.0,5119.6,4038.6,4313.0,5108.6,5177.6,5280.6,3351.0,2346.8,3071.0,2347.4,2828.4,3166.2,2848.4,3353.0,3228.4,3102.2,1486.2,1181.8,3271.2,2128.0,3164.2,3327.6,1551.6,1668.8,1765.0,1399.0,1894.2,2703.0,765.8,3834.8,1477.8,2866.6
5435.6,3762.6,4468.0,4246.8,4559.6,4600.0,3988.8,5097.6,4070.0,4321.0,4985.0,5191.2,5265.6,3286.2,2350.0,3070.8,2317.8,2818.2,3071.2,2870.0,3341.0,3222.2,3096.8,1473.0,1180.2,3205.0,2160.6,3194.8,3263.2,1499.0,1804.0,1768.2,1336.8,1998.8,2733.0,762.6,3707.2,1439.0,2944.2
