A new study created in RDB with name: SVR_14125
Trial 91 finished with value: -5.362586341112573 and parameters: {'kernel': 'poly', 'epsilon': 0.19313618242036534, 'degree': 2, 'C': 0.0001246258439939877}. Best is trial 11 with value: 0.05531934963934123.
Trial 92 finished with value: -2.808736491807717 and parameters: {'kernel': 'poly', 'epsilon': 0.37921224671936116, 'degree': 2, 'C': 0.6367529481732783}. Best is trial 11 with value: 0.05531934963934123.
Trial 99 finished with value: -0.7173720245306155 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.3152585851170633, 'degree': 2, 'C': 5.635713993457624}. Best is trial 11 with value: 0.05531934963934123.
Trial 95 finished with value: -0.020101079349028585 and parameters: {'kernel': 'linear', 'epsilon': 0.323629522958521, 'degree': 3, 'C': 4.514607598485694}. Best is trial 11 with value: 0.05531934963934123.
Trial 93 finished with value: -5.30838445596813 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.14915154289915156, 'degree': 5, 'C': 0.007381445485841726}. Best is trial 11 with value: 0.05531934963934123.
Trial 98 finished with value: -4.029448443436653 and parameters: {'kernel': 'linear', 'epsilon': 0.5002629685953959, 'degree': 4, 'C': 0.006685017483323647}. Best is trial 11 with value: 0.05531934963934123.
Trial 103 finished with value: -5.370822223371083 and parameters: {'kernel': 'linear', 'epsilon': 0.42968329056924215, 'degree': 4, 'C': 0.00013458790027523642}. Best is trial 11 with value: 0.05531934963934123.
Trial 101 finished with value: -0.019437533547021102 and parameters: {'kernel': 'linear', 'epsilon': 0.551644093049434, 'degree': 4, 'C': 5.898239346377907}. Best is trial 11 with value: 0.05531934963934123.
Trial 97 finished with value: -5.410993576871249 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.6247170402299931, 'degree': 5, 'C': 0.0019630140816355775}. Best is trial 11 with value: 0.05531934963934123.
Trial 105 finished with value: -1.599928234607209 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.15146307455994057, 'degree': 4, 'C': 1.0034561913936642}. Best is trial 11 with value: 0.05531934963934123.
Trial 102 finished with value: -2.3755612765973644 and parameters: {'kernel': 'rbf', 'epsilon': 0.9875480031480968, 'degree': 4, 'C': 0.8935799887375733}. Best is trial 11 with value: 0.05531934963934123.
Trial 106 finished with value: -4.880438371327231 and parameters: {'kernel': 'linear', 'epsilon': 0.5180996613595228, 'degree': 6, 'C': 0.002421322851234008}. Best is trial 11 with value: 0.05531934963934123.
Trial 100 finished with value: -0.5826200788745688 and parameters: {'kernel': 'rbf', 'epsilon': 0.16149693660907172, 'degree': 5, 'C': 2.7795764257245197}. Best is trial 11 with value: 0.05531934963934123.
Trial 104 finished with value: -1.466069146583996 and parameters: {'kernel': 'linear', 'epsilon': 0.37331219324315457, 'degree': 3, 'C': 0.037144746107693936}. Best is trial 11 with value: 0.05531934963934123.
Trial 108 finished with value: -4.702625982084591 and parameters: {'kernel': 'poly', 'epsilon': 0.6352367422126837, 'degree': 6, 'C': 0.0413756991536428}. Best is trial 11 with value: 0.05531934963934123.
Trial 109 finished with value: -0.8459995305106907 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.49025823551033587, 'degree': 3, 'C': 7.062382718568724}. Best is trial 11 with value: 0.05531934963934123.
Trial 113 finished with value: -1.8498401009939052 and parameters: {'kernel': 'poly', 'epsilon': 0.9816475455855233, 'degree': 2, 'C': 1.3127234934003633}. Best is trial 11 with value: 0.05531934963934123.
