A new study created in RDB with name: SVR_65137
Trial 89 finished with value: -0.05179693504758539 and parameters: {'kernel': 'poly', 'epsilon': 0.18018139884263906, 'degree': 3, 'C': 0.016316975881128667}. Best is trial 88 with value: 0.7768506091400382.
Trial 103 finished with value: -0.0415495162577315 and parameters: {'kernel': 'poly', 'epsilon': 0.4818286896358944, 'degree': 6, 'C': 0.027122446665143518}. Best is trial 88 with value: 0.7768506091400382.
Trial 97 finished with value: 0.5648059896075829 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.5988347669197108, 'degree': 6, 'C': 1.7816829869255215}. Best is trial 88 with value: 0.7768506091400382.
Trial 94 finished with value: -0.045100762493993196 and parameters: {'kernel': 'rbf', 'epsilon': 0.4190289151663452, 'degree': 2, 'C': 0.030824498138420475}. Best is trial 88 with value: 0.7768506091400382.
Trial 102 finished with value: 0.7738441837957801 and parameters: {'kernel': 'linear', 'epsilon': 0.9235888563884994, 'degree': 4, 'C': 9.120053456020988}. Best is trial 88 with value: 0.7768506091400382.
Trial 99 finished with value: -0.06328085652034257 and parameters: {'kernel': 'rbf', 'epsilon': 0.6888445832865127, 'degree': 6, 'C': 0.0013546047541192145}. Best is trial 88 with value: 0.7768506091400382.
Trial 93 finished with value: 0.07278944107763965 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.1707292559032667, 'degree': 4, 'C': 0.1779192207357706}. Best is trial 88 with value: 0.7768506091400382.
Trial 105 finished with value: 0.054834794103927595 and parameters: {'kernel': 'linear', 'epsilon': 0.7283642736025924, 'degree': 3, 'C': 0.005733789619498076}. Best is trial 88 with value: 0.7768506091400382.
Trial 104 finished with value: -0.02915803974908774 and parameters: {'kernel': 'poly', 'epsilon': 0.45701285716340423, 'degree': 5, 'C': 0.04990874592814403}. Best is trial 88 with value: 0.7768506091400382.
Trial 108 finished with value: -0.06218676659638511 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.871649114189331, 'degree': 3, 'C': 0.0031807777178045928}. Best is trial 88 with value: 0.7768506091400382.
Trial 106 finished with value: 0.7650773207563607 and parameters: {'kernel': 'poly', 'epsilon': 0.27438563166954233, 'degree': 3, 'C': 9.602924212774363}. Best is trial 88 with value: 0.7768506091400382.
Trial 107 finished with value: 0.7761144826665645 and parameters: {'kernel': 'linear', 'epsilon': 0.45628040314952845, 'degree': 3, 'C': 1.0610785837463428}. Best is trial 88 with value: 0.7768506091400382.
