0_0,0_164_aout,0_164_bout,0_246_aout,0_246_bout,0_82_aout,0_82_bout,360_0,360_164_aout,360_164_bout,360_246_aout,360_246_bout,360_82_aout,360_82_bout,660_0,660_164_aout,660_164_bout,660_246_aout,660_246_bout,660_82_aout,660_82_bout,960_0,960_164_aout,960_164_bout,960_246_aout,960_246_bout,960_82_aout,960_82_bout
4431.2,4647.4,4781.0,4619.4,5541.2,4601.0,3400.6,2741.8,2610.2,810.6,2896.6,3001.8,1924.4,1370.0,929.2,1863.2,255.8,1091.2,1053.0,1257.6,1109.6,1154.6,292.8,996.4,765.4,1209.8,554.6,747.8
4438.6,4858.2,4736.6,4649.6,5438.2,4590.6,3367.6,2777.0,2601.6,777.2,2903.6,3011.8,1803.6,1368.6,921.2,1863.2,251.8,1031.4,1053.6,1254.0,1102.0,1107.0,292.8,983.2,726.4,1173.4,551.2,748.8
4422.4,4985.0,4482.8,4719.2,5380.2,4583.8,3372.2,2805.4,2551.4,748.0,2893.6,3030.2,1773.6,1370.6,917.0,1860.6,252.6,1030.8,1043.2,1243.4,1095.8,1058.6,293.4,968.0,714.0,1128.4,535.8,747.6
4407.4,5019.6,4408.6,4789.2,5316.4,4572.6,3531.4,2787.0,2544.8,722.6,2887.8,3101.6,1729.2,1369.8,909.4,1859.6,252.4,1042.4,1040.6,1225.2,1092.2,991.6,293.6,959.4,709.4,1092.2,537.0,746.8
4399.8,4979.4,4305.8,4804.6,5259.2,4563.8,3512.4,2788.6,2537.0,725.6,2879.8,3073.6,1599.2,1364.2,895.4,1858.2,252.8,1026.6,1051.6,1202.6,1087.8,959.6,295.6,957.8,699.4,1067.2,532.8,747.4
4393.0,4935.8,4239.0,4790.0,5213.6,4551.4,3493.8,2796.4,2549.0,762.6,2857.4,3013.6,1333.6,1352.2,884.4,1748.8,252.4,1031.2,1050.2,1172.0,1053.0,956.2,294.6,965.8,687.6,1053.8,537.8,748.0
4409.8,4921.8,4198.6,4788.2,5183.4,4551.4,3477.6,2790.2,2549.4,788.2,2775.0,3018.2,1194.8,1338.8,877.2,1726.2,265.4,1031.4,1049.4,1152.8,1004.0,818.6,297.6,953.4,664.6,1055.6,546.6,748.0
4426.8,4951.2,4130.4,4769.2,5130.8,4519.0,3510.6,2788.8,2541.2,798.2,2393.2,3035.6,1134.0,1327.6,876.6,1702.2,272.6,1043.2,998.8,1137.8,996.6,749.0,308.8,944.4,668.6,1055.6,557.4,747.8
4437.8,4977.0,4054.4,4762.2,5066.2,4461.2,3571.6,2802.8,2591.0,857.2,2324.8,3060.2,1115.4,1318.8,873.0,1688.8,230.6,1049.8,915.4,1112.8,989.0,746.2,309.2,930.4,669.8,1052.4,580.2,749.8
4414.2,5008.0,4015.0,4772.2,5005.2,4435.4,3804.0,2829.6,2569.6,898.2,2250.4,3077.2,1125.4,1277.0,875.8,1678.6,198.6,1032.4,765.4,1099.0,975.0,741.4,294.4,913.8,660.2,1053.0,592.2,745.4
4393.4,5011.2,3941.4,4803.8,4977.0,4397.8,3843.4,2832.8,2564.2,932.2,2204.6,3093.6,1146.4,1255.8,878.8,1672.8,177.8,1025.6,767.4,1088.0,963.8,730.4,292.0,901.2,654.6,1048.2,600.8,739.6
4403.4,4989.4,3879.8,4836.6,4943.0,4341.8,3887.6,2834.4,2499.6,970.2,2174.4,3112.8,1171.4,1229.4,877.8,1666.8,186.4,1025.8,749.8,1073.2,954.4,716.8,290.2,898.8,651.2,1070.4,600.2,742.0
4392.4,4961.6,3834.0,4855.8,4910.0,4402.4,3889.8,2837.0,2500.6,1014.0,2171.6,3125.0,1185.8,1167.8,877.6,1656.0,172.6,1019.6,503.4,1066.0,931.0,705.4,289.2,915.6,647.2,1069.6,600.6,745.0
4392.4,4968.2,3805.0,4866.2,4879.2,4406.6,3880.8,2818.8,2488.2,1066.8,2182.4,3139.8,1202.0,1153.6,881.0,1639.8,176.2,1017.8,497.2,1061.4,892.4,685.2,289.8,917.6,648.4,1081.0,596.0,747.0
4392.2,4966.0,3794.6,4894.2,4866.0,4360.6,3893.6,2806.4,2457.0,1192.2,2175.2,3137.4,1205.6,1152.4,878.4,1626.0,177.0,1027.0,491.8,1056.0,861.8,680.8,289.8,904.0,639.0,1114.4,592.8,743.6
4417.4,4916.2,3786.0,4898.8,4855.2,4423.4,3907.8,2760.2,2421.2,1228.0,2167.2,3136.2,1210.4,1142.0,876.4,1620.2,179.2,1032.0,494.8,1055.2,854.4,677.8,290.4,905.2,626.6,1117.4,579.8,740.2
4439.0,4871.6,3771.2,4916.6,4843.2,4279.6,3909.8,2636.2,2397.2,1243.6,2157.4,3175.6,1215.2,1127.8,871.0,1614.6,181.0,1023.0,497.0,1052.8,844.0,667.0,294.2,906.2,724.4,1099.4,553.4,739.6
4454.8,4839.8,3739.8,4926.0,4829.6,4337.2,3920.0,2475.6,2359.0,1279.4,2151.2,3197.4,1224.4,1071.4,841.8,1612.8,182.8,1007.6,497.6,1049.4,801.8,649.6,297.2,880.0,720.4,1099.8,557.6,742.4
