A new study created in RDB with name: Poly_ElasticNet_71149
Trial 99 finished with value: 0.44987102956370306 and parameters: {'n_components': 4, 'degree': 1, 'l1_ratio': 0.8375472849059618, 'max_iter': 52393}. Best is trial 89 with value: 0.8301173458287995.
Trial 92 finished with value: 0.8004009286853171 and parameters: {'n_components': 9, 'degree': 4, 'l1_ratio': 0.17009857772006465, 'max_iter': 47771}. Best is trial 89 with value: 0.8301173458287995.
Trial 98 finished with value: 0.44957890216222934 and parameters: {'n_components': 4, 'degree': 1, 'l1_ratio': 0.9903647243320832, 'max_iter': 89287}. Best is trial 89 with value: 0.8301173458287995.
Trial 6 finished with value: 0.7443527045166995 and parameters: {'n_components': 6, 'degree': 5, 'l1_ratio': 0.18554127018905553, 'max_iter': 33927}. Best is trial 89 with value: 0.8301173458287995.
Trial 87 finished with value: 0.7661682177673225 and parameters: {'n_components': 5, 'degree': 4, 'l1_ratio': 0.01987192918487768, 'max_iter': 82744}. Best is trial 89 with value: 0.8301173458287995.
Trial 38 finished with value: 0.7558570422963155 and parameters: {'n_components': 5, 'degree': 5, 'l1_ratio': 0.12198353424526165, 'max_iter': 34795}. Best is trial 89 with value: 0.8301173458287995.
Trial 94 finished with value: 0.8162528341917238 and parameters: {'n_components': 11, 'degree': 4, 'l1_ratio': 0.8725909233322878, 'max_iter': 61352}. Best is trial 89 with value: 0.8301173458287995.
Trial 107 finished with value: 0.7813279469556548 and parameters: {'n_components': 4, 'degree': 3, 'l1_ratio': 0.39612169125727803, 'max_iter': 73611}. Best is trial 89 with value: 0.8301173458287995.
Trial 110 finished with value: 0.7819218840832556 and parameters: {'n_components': 4, 'degree': 3, 'l1_ratio': 0.2660524658969655, 'max_iter': 27803}. Best is trial 89 with value: 0.8301173458287995.
Trial 111 finished with value: 0.5466138965024794 and parameters: {'n_components': 7, 'degree': 1, 'l1_ratio': 0.6712712096848485, 'max_iter': 9454}. Best is trial 89 with value: 0.8301173458287995.
Trial 106 finished with value: 0.6276228795273497 and parameters: {'n_components': 8, 'degree': 1, 'l1_ratio': 0.571142461151222, 'max_iter': 74937}. Best is trial 89 with value: 0.8301173458287995.
Trial 112 finished with value: 0.7787981627768109 and parameters: {'n_components': 3, 'degree': 2, 'l1_ratio': 0.8027692413195618, 'max_iter': 11679}. Best is trial 89 with value: 0.8301173458287995.
Trial 116 finished with value: 0.7664241136211637 and parameters: {'n_components': 2, 'degree': 2, 'l1_ratio': 0.6830205561537807, 'max_iter': 23283}. Best is trial 89 with value: 0.8301173458287995.
Trial 113 finished with value: 0.7872946082040896 and parameters: {'n_components': 5, 'degree': 2, 'l1_ratio': 0.5501570105324618, 'max_iter': 2812}. Best is trial 89 with value: 0.8301173458287995.
Trial 115 finished with value: 0.7828888001491296 and parameters: {'n_components': 4, 'degree': 2, 'l1_ratio': 0.7401506090558966, 'max_iter': 11190}. Best is trial 89 with value: 0.8301173458287995.
Trial 105 finished with value: 0.8038109118579607 and parameters: {'n_components': 10, 'degree': 4, 'l1_ratio': 0.3023697863060427, 'max_iter': 92524}. Best is trial 89 with value: 0.8301173458287995.
Trial 108 finished with value: 0.7698070740078229 and parameters: {'n_components': 5, 'degree': 4, 'l1_ratio': 0.49713128976128484, 'max_iter': 83001}. Best is trial 89 with value: 0.8301173458287995.
Trial 114 finished with value: 0.7984972917868741 and parameters: {'n_components': 8, 'degree': 4, 'l1_ratio': 0.6569871450560218, 'max_iter': 73584}. Best is trial 89 with value: 0.8301173458287995.
Trial 120 finished with value: 0.37854394756393384 and parameters: {'n_components': 1, 'degree': 4, 'l1_ratio': 0.22682977459611708, 'max_iter': 36088}. Best is trial 89 with value: 0.8301173458287995.
