0_0,0_164_aout,0_164_bout,0_246_aout,0_246_bout,0_82_aout,0_82_bout,360_0,360_164_aout,360_164_bout,360_246_aout,360_246_bout,360_82_aout,360_82_bout,660_0,660_164_aout,660_164_bout,660_246_aout,660_246_bout,660_82_aout,660_82_bout,960_0,960_164_aout,960_164_bout,960_246_aout,960_246_bout,960_82_aout,960_82_bout
1236.8,1861.6,1743.8,2214.4,1644.2,1438.6,1659.8,1749.0,1446.4,1333.2,1747.0,1529.8,1778.6,2284.6,1163.8,1540.0,1377.0,1240.6,1230.0,1698.0,1493.4,907.2,1702.4,1243.4,965.0,1524.2,1349.0,1031.2
1252.6,1873.0,1758.8,2238.4,1651.0,1442.8,1677.4,1751.2,1450.4,1314.4,1758.0,1544.0,1787.6,2288.4,1167.4,1559.2,1382.4,1257.0,1246.6,1717.0,1494.6,918.8,1706.6,1254.4,981.0,1533.8,1368.8,1036.2
1265.4,1882.0,1774.2,2265.2,1662.0,1444.4,1699.6,1757.0,1452.0,1307.6,1770.0,1559.4,1800.0,2296.8,1170.0,1579.4,1389.4,1269.4,1277.0,1738.6,1498.6,927.0,1705.4,1266.4,995.8,1542.2,1387.4,1042.8
1272.0,1889.0,1786.8,2300.8,1675.6,1443.8,1716.6,1764.8,1454.8,1307.8,1783.0,1573.2,1803.4,2307.0,1178.2,1598.8,1398.8,1288.2,1308.6,1753.8,1508.8,947.0,1711.6,1280.8,1002.8,1548.2,1404.0,1057.8
1278.8,1886.2,1803.4,2320.0,1683.4,1448.6,1733.2,1784.2,1459.4,1297.6,1795.0,1581.2,1812.6,2315.0,1180.8,1622.6,1409.4,1309.0,1336.2,1775.4,1510.2,963.2,1714.8,1295.4,1008.8,1556.8,1419.8,1071.4
1286.6,1881.8,1815.8,2345.4,1694.6,1450.0,1746.8,1796.4,1467.4,1288.8,1812.0,1595.0,1823.6,2322.0,1188.8,1644.4,1421.4,1334.0,1359.8,1784.6,1518.0,970.8,1714.2,1308.8,1014.8,1565.0,1439.2,1083.4
1296.6,1879.8,1823.6,2367.0,1704.8,1449.4,1759.6,1808.8,1481.8,1285.2,1817.2,1611.2,1834.2,2325.6,1190.4,1666.8,1438.6,1354.4,1378.8,1796.0,1519.0,985.2,1717.8,1321.6,1022.8,1572.4,1457.2,1095.8
1308.4,1878.6,1842.4,2389.2,1713.6,1452.6,1773.0,1817.2,1497.8,1288.4,1826.2,1615.0,1844.4,2335.2,1191.4,1691.0,1457.8,1368.6,1399.6,1805.2,1523.4,992.4,1723.6,1327.2,1030.8,1581.6,1470.6,1107.4
1322.2,1883.2,1852.2,2414.4,1722.6,1452.2,1791.2,1826.8,1510.8,1286.8,1838.8,1622.6,1854.8,2346.2,1198.6,1712.0,1474.0,1379.2,1413.2,1808.4,1522.0,1005.2,1728.8,1336.6,1036.8,1590.8,1478.2,1116.6
1329.8,1886.8,1865.0,2435.4,1723.6,1449.4,1801.6,1836.8,1523.8,1290.4,1852.0,1634.0,1865.0,2357.8,1205.6,1727.8,1493.0,1391.8,1434.8,1813.2,1526.4,1016.6,1735.6,1350.4,1037.8,1597.0,1494.4,1129.4
