case_name,count_sum,count_timeMean
office2_360_82_aout,55429.4,92.22861896838603
office2_360_82_bout,76901.2,127.95540765391014
office2_660_0,198158.8,329.7151414309484
office2_660_164_aout,353883.6,588.8246256239601
office2_660_164_bout,168199.8,279.8665557404326
office2_660_246_aout,226643.2,377.110149750416
office2_660_246_bout,206934.4,344.3168053244592
office2_660_82_aout,281426.2,468.263227953411
office2_660_82_bout,227995.0,379.3594009983361
office2_960_0,267261.8,444.6951747088186
office2_960_164_aout,177257.8,294.93810316139763
office2_960_164_bout,272131.0,452.7970049916805
office2_960_246_aout,325807.8,542.1094841930117
office2_960_246_bout,221755.8,368.9780366056572
office2_960_82_aout,147662.4,245.6945091514143
office2_960_82_bout,108728.2,180.91214642262895
office3_0_0,341693.0,568.5407653910149
office3_0_164_aout,443001.2,737.1068219633944
office3_0_164_bout,237005.4,394.35174708818636
office3_0_246_aout,362197.8,602.6585690515807
office3_0_246_bout,455487.2,757.8821963394342
office3_0_82_aout,392404.2,652.9188019966722
office3_0_82_bout,349563.6,581.6366056572379
office3_360_0,385188.2,640.912146422629
office3_360_164_aout,446654.0,743.1846921797005
office3_360_164_bout,375865.6,625.4003327787021
office3_360_246_aout,428239.4,712.544758735441
office3_360_246_bout,355767.2,591.9587354409318
office3_360_82_aout,462279.0,769.1830282861897
office3_360_82_bout,389815.8,648.6119800332779
office3_660_0,655200.6,1090.1840266222962
office3_660_164_aout,1090752.8,1814.8965058236274
office3_660_164_bout,550048.4,915.2219633943428
office3_660_246_aout,726077.8,1208.116139767055
office3_660_246_bout,493659.4,821.3966722129784
office3_660_82_aout,557445.4,927.5297836938437
office3_660_82_bout,463931.8,771.9331114808653
office3_960_0,491021.2,817.0069883527455
office3_960_164_aout,991622.0,1649.953410981697
office3_960_164_bout,468402.6,779.3720465890183
office3_960_246_aout,999154.6,1662.4868552412645
office3_960_246_bout,807346.4,1343.3384359400998
office3_960_82_aout,679656.2,1130.875540765391
office3_960_82_bout,385583.2,641.569384359401
office4_0_0,285153.0,474.46422628951746
office4_0_164_aout,370348.2,616.2199667221298
office4_0_164_bout,328204.4,546.0971713810317
office4_0_246_aout,331915.6,552.2722129783693
office4_0_246_bout,301994.6,502.4868552412645
office4_0_82_aout,338133.6,562.6183028286189
office4_0_82_bout,335205.2,557.7457570715475
office4_360_0,316147.2,526.0352745424293
office4_360_164_aout,380642.6,633.3487520798668
office4_360_164_bout,270027.6,449.2971713810316
office4_360_246_aout,301204.0,501.171381031614
office4_360_246_bout,267889.0,445.738768718802
office4_360_82_aout,287113.2,477.72579034941765
office4_360_82_bout,239065.2,397.77903494176377
office4_660_0,304085.0,505.96505823627285
office4_660_164_aout,285262.0,474.6455906821963
office4_660_164_bout,228486.8,380.17770382695505
office4_660_246_aout,222416.8,370.0778702163061
office4_660_246_bout,248481.0,413.4459234608985
office4_660_82_aout,247279.0,411.4459234608985
office4_660_82_bout,256660.4,427.05557404326123
office4_960_0,228961.4,380.967387687188
office4_960_164_aout,234996.0,391.0083194675541
office4_960_164_bout,199380.8,331.7484193011647
office4_960_246_aout,139140.0,231.51414309484193
office4_960_246_bout,160196.6,266.55008319467555
office4_960_82_aout,160709.8,267.40399334442594
office4_960_82_bout,201619.0,335.47254575707154
office5_0_0,257328.6,428.167387687188
office5_0_164_aout,304541.0,506.72379367720464
office5_0_164_bout,273690.4,455.39168053244595
office5_0_246_aout,342961.0,570.6505823627288
office5_0_246_bout,176865.2,294.2848585690516
office5_0_82_aout,220854.4,367.4782029950083
office5_0_82_bout,129699.6,215.80632279534112
office5_360_0,105057.8,174.80499168053245
office5_360_164_aout,184423.2,306.8605657237937
office5_360_164_bout,338534.6,563.2855241264558
office5_360_246_aout,141945.0,236.18136439267886
office5_360_246_bout,213667.6,355.5201331114809
office5_360_82_aout,162253.0,269.97171381031615
office5_360_82_bout,213180.2,354.70915141430953
office5_660_0,181074.2,301.28818635607325
office5_660_164_aout,183222.2,304.86222961730454
office5_660_164_bout,237783.0,395.6455906821963
office5_660_246_aout,267355.0,444.85024958402664
office5_660_246_bout,263045.8,437.6801996672213
office5_660_82_aout,146241.6,243.33044925124793
office5_660_82_bout,176209.6,293.19400998336107
office5_960_0,116262.8,193.44891846921797
office5_960_164_aout,189127.8,314.68851913477533
office5_960_164_bout,204083.6,339.57337770382696
office5_960_246_aout,171604.8,285.53211314475874
office5_960_246_bout,191247.0,318.21464226289515
office5_960_82_aout,162029.2,269.5993344425957
office5_960_82_bout,176639.0,293.90848585690514
office6_0_0,123193.2,204.98036605657236
office6_0_164_aout,101609.8,169.06788685524126
office6_0_164_bout,78564.0,130.72212978369384
office6_0_246_aout,133723.0,222.5008319467554
office6_0_246_bout,159613.2,265.5793677204659
office6_0_82_aout,134991.8,224.61198003327786
office6_0_82_bout,111056.4,184.78602329450914
office6_360_0,118992.6,197.9910149750416
office6_360_164_aout,135786.6,225.9344425956739
office6_360_164_bout,118773.2,197.6259567387687
office6_360_246_aout,116498.8,193.8415973377704
office6_360_246_bout,164509.0,273.7254575707155
office6_360_82_aout,138488.2,230.42961730449252
office6_360_82_bout,131380.8,218.60366056572377
office6_660_0,160058.0,266.31946755407654
office6_660_164_aout,210902.2,350.91880199667224
office6_660_164_bout,151478.4,252.04392678868552
office6_660_246_aout,261963.0,435.8785357737105
office6_660_246_bout,208883.2,347.5594009983361
office6_660_82_aout,111536.6,185.58502495840267
office6_660_82_bout,113698.6,189.18236272878536
office6_960_0,121995.0,202.98668885191347
office6_960_164_aout,156558.4,260.4965058236273
office6_960_164_bout,100277.0,166.8502495840266
office6_960_246_aout,161772.2,269.17171381031613
office6_960_246_bout,154903.4,257.74276206322793
office6_960_82_aout,139334.0,231.8369384359401
office6_960_82_bout,119579.8,198.96805324459234
office7_0_0,414597.2,689.8455906821963
office7_0_164_aout,348320.8,579.5687188019966
office7_0_164_bout,335419.8,558.1028286189684
office7_0_246_aout,230143.8,382.93477537437604
office7_0_246_bout,453561.2,754.677537437604
office7_0_82_aout,375228.6,624.3404326123127
office7_0_82_bout,379755.6,631.8728785357737
office7_360_0,122933.8,204.5487520798669
office7_360_164_aout,158660.4,263.9940099833611
office7_360_164_bout,159896.0,266.0499168053245
office7_360_246_aout,192959.4,321.0638935108153
office7_360_246_bout,160829.6,267.6033277870216
office7_360_82_aout,171199.0,284.8569051580699
office7_360_82_bout,171155.4,284.7843594009983
office7_660_0,182454.6,303.5850249584027
office7_660_164_aout,246250.8,409.73510815307816
office7_660_164_bout,212131.0,352.96339434276206
office7_660_246_aout,198529.2,330.33144758735443
office7_660_246_bout,291047.2,484.2715474209651
office7_660_82_aout,167656.4,278.9623960066556
office7_660_82_bout,168610.8,280.5504159733777
office7_960_0,217977.0,362.69051580698834
office7_960_164_aout,154344.6,256.8129783693844
office7_960_164_bout,160336.2,266.78236272878536
office7_960_246_aout,162854.8,270.9730449251248
office7_960_246_bout,187826.8,312.52379367720465
office7_960_82_aout,175346.0,291.757071547421
office7_960_82_bout,185193.4,308.14209650582364
office8_0_0,316051.2,525.8755407653911
office8_0_164_aout,280965.8,467.4971713810316
office8_0_164_bout,279795.8,465.5504159733777
office8_0_246_aout,241616.2,402.02362728785357
office8_0_246_bout,319283.2,531.2532445923462
office8_0_82_aout,322214.2,536.1301164725458
office8_0_82_bout,387525.6,644.8013311148086
office8_360_0,339952.8,565.6452579034942
office8_360_164_aout,271198.4,451.24525790349423
office8_360_164_bout,316951.6,527.3737104825291
office8_360_246_aout,278826.2,463.9371048252912
office8_360_246_bout,406312.0,676.0599001663893
office8_360_82_aout,286127.4,476.08552412645594
office8_360_82_bout,306351.2,509.73577371048253
office8_660_0,303668.2,505.2715474209651
office8_660_164_aout,281397.2,468.21497504159737
office8_660_164_bout,243600.4,405.3251247920133
office8_660_246_aout,302961.6,504.0958402662229
office8_660_246_bout,244378.8,406.62029950083195
office8_660_82_aout,260904.0,434.11647254575706
office8_660_82_bout,261905.6,435.7830282861897
office8_960_0,287086.4,477.68119800332784
office8_960_164_aout,274028.6,455.9544093178036
office8_960_164_bout,270790.8,450.56705490848583
office8_960_246_aout,256055.4,426.04891846921794
office8_960_246_bout,286516.0,476.7321131447587
office8_960_82_aout,286257.0,476.30116472545757
office8_960_82_bout,270813.0,450.60399334442593
office9_0_0,142178.0,236.56905158069884
office9_0_164_aout,284309.2,473.0602329450915
office9_0_164_bout,333997.6,555.7364392678868
office9_0_246_aout,227645.4,378.7777038269551
office9_0_246_bout,258750.2,430.53277870216306
office9_0_82_aout,226029.8,376.08951747088184
office9_0_82_bout,247147.4,411.2269550748752
office9_360_0,151443.6,251.98602329450915
office9_360_164_aout,202303.4,336.61131447587354
office9_360_164_bout,216487.4,360.2119800332779
office9_360_246_aout,174020.6,289.55174708818635
office9_360_246_bout,167104.2,278.0435940099834
office9_360_82_aout,198201.2,329.785690515807
office9_360_82_bout,207997.8,346.0861896838602
office9_660_0,183673.4,305.61297836938434
office9_660_164_aout,185135.8,308.04625623960067
office9_660_164_bout,246830.0,410.69883527454243
office9_660_246_aout,170301.6,283.36372712146425
office9_660_246_bout,261500.6,435.1091514143095
office9_660_82_aout,170543.6,283.76638935108156
office9_660_82_bout,282312.0,469.73710482529117
office9_960_0,261480.6,435.0758735440932
office9_960_164_aout,221719.2,368.9171381031614
office9_960_164_bout,251091.0,417.78868552412644
office9_960_246_aout,308771.8,513.763394342762
office9_960_246_bout,285927.4,475.75274542429287
office9_960_82_aout,241167.6,401.27720465890184
office9_960_82_bout,314203.4,522.8009983361065
